epoch,mAP@50,mAP
001,0.009,0.004
002,0.046,0.024
003,0.090,0.048
004,0.158,0.092
005,0.204,0.122
006,0.246,0.152
007,0.267,0.167
008,0.293,0.186
009,0.310,0.198
010,0.325,0.209
011,0.338,0.220
012,0.345,0.225
013,0.355,0.232
014,0.361,0.237
015,0.366,0.240
016,0.371,0.244
017,0.374,0.246
018,0.378,0.249
019,0.381,0.251
020,0.383,0.253
021,0.385,0.255
022,0.387,0.256
023,0.388,0.257
024,0.389,0.258
025,0.389,0.259
026,0.390,0.260
027,0.392,0.261
028,0.393,0.262
029,0.394,0.262
030,0.395,0.263
031,0.396,0.264
032,0.397,0.265
033,0.397,0.265
034,0.398,0.266
035,0.399,0.266
036,0.400,0.267
037,0.401,0.268
038,0.402,0.268
039,0.403,0.270
040,0.403,0.270
041,0.405,0.271
042,0.406,0.272
043,0.406,0.272
044,0.407,0.273
045,0.409,0.274
046,0.409,0.275
047,0.410,0.276
048,0.412,0.277
049,0.413,0.278
050,0.414,0.279
051,0.415,0.280
052,0.417,0.281
053,0.418,0.282
054,0.420,0.283
055,0.421,0.285
056,0.423,0.286
057,0.424,0.287
058,0.425,0.288
059,0.426,0.289
060,0.428,0.290
061,0.429,0.291
062,0.430,0.291
063,0.431,0.292
064,0.432,0.293
065,0.433,0.294
066,0.434,0.295
067,0.435,0.295
068,0.436,0.296
069,0.437,0.297
070,0.438,0.298
071,0.438,0.298
072,0.439,0.299
073,0.439,0.299
074,0.441,0.300
075,0.441,0.301
076,0.442,0.301
077,0.442,0.301
078,0.443,0.302
079,0.443,0.302
080,0.444,0.303
081,0.445,0.304
082,0.445,0.304
083,0.445,0.304
084,0.446,0.304
085,0.447,0.305
086,0.447,0.305
087,0.448,0.306
088,0.448,0.306
089,0.448,0.306
090,0.448,0.307
091,0.449,0.307
092,0.450,0.307
093,0.451,0.308
094,0.451,0.308
095,0.451,0.309
096,0.451,0.309
097,0.452,0.309
098,0.452,0.309
099,0.452,0.309
100,0.453,0.310
101,0.453,0.310
102,0.453,0.310
103,0.454,0.311
104,0.454,0.311
105,0.454,0.311
106,0.454,0.311
107,0.455,0.311
108,0.455,0.312
109,0.455,0.312
110,0.456,0.312
111,0.456,0.312
112,0.456,0.312
113,0.456,0.312
114,0.457,0.312
115,0.457,0.312
116,0.458,0.313
117,0.457,0.313
118,0.458,0.313
119,0.458,0.314
120,0.458,0.314
121,0.459,0.314
122,0.459,0.314
123,0.459,0.315
124,0.459,0.315
125,0.460,0.315
126,0.460,0.315
127,0.460,0.315
128,0.460,0.315
129,0.460,0.316
130,0.460,0.316
131,0.460,0.316
132,0.461,0.316
133,0.461,0.316
134,0.461,0.317
135,0.462,0.317
136,0.462,0.317
137,0.462,0.317
138,0.463,0.318
139,0.463,0.318
140,0.463,0.318
141,0.463,0.318
142,0.464,0.318
143,0.464,0.318
144,0.464,0.319
145,0.465,0.319
146,0.466,0.319
147,0.466,0.319
148,0.466,0.319
149,0.466,0.319
150,0.466,0.319
151,0.466,0.320
152,0.467,0.320
153,0.467,0.320
154,0.467,0.320
155,0.467,0.320
156,0.467,0.320
157,0.467,0.320
158,0.467,0.320
159,0.467,0.320
160,0.467,0.320
161,0.468,0.321
162,0.468,0.321
163,0.468,0.321
164,0.469,0.321
165,0.469,0.321
166,0.469,0.321
167,0.469,0.322
168,0.469,0.321
169,0.470,0.322
170,0.469,0.322
171,0.470,0.322
172,0.470,0.323
173,0.471,0.323
174,0.471,0.324
175,0.471,0.324
176,0.471,0.324
177,0.471,0.324
178,0.471,0.324
179,0.472,0.324
180,0.472,0.325
181,0.472,0.325
182,0.472,0.325
183,0.472,0.325
184,0.472,0.325
185,0.472,0.325
186,0.473,0.325
187,0.473,0.325
188,0.473,0.326
189,0.474,0.326
190,0.474,0.326
191,0.474,0.326
192,0.475,0.327
193,0.475,0.327
194,0.475,0.327
195,0.475,0.327
196,0.475,0.327
197,0.475,0.327
198,0.475,0.327
199,0.476,0.328
200,0.476,0.328
201,0.477,0.329
202,0.477,0.329
203,0.477,0.329
204,0.478,0.329
205,0.478,0.329
206,0.478,0.330
207,0.479,0.330
208,0.479,0.330
209,0.479,0.330
210,0.479,0.330
211,0.479,0.330
212,0.479,0.330
213,0.479,0.330
214,0.479,0.330
215,0.479,0.330
216,0.479,0.330
217,0.480,0.331
218,0.480,0.331
219,0.480,0.331
220,0.480,0.331
221,0.480,0.331
222,0.480,0.332
223,0.480,0.332
224,0.481,0.332
225,0.481,0.332
226,0.481,0.332
227,0.481,0.332
228,0.481,0.332
229,0.481,0.332
230,0.482,0.332
231,0.482,0.332
232,0.482,0.332
233,0.482,0.332
234,0.482,0.333
235,0.482,0.333
236,0.482,0.333
237,0.482,0.333
238,0.483,0.333
239,0.483,0.333
240,0.483,0.334
241,0.484,0.334
242,0.484,0.334
243,0.484,0.334
244,0.484,0.334
245,0.484,0.334
246,0.484,0.334
247,0.484,0.334
248,0.484,0.335
249,0.485,0.335
250,0.485,0.335
251,0.485,0.335
252,0.485,0.335
253,0.485,0.335
254,0.485,0.335
255,0.485,0.335
256,0.485,0.335
257,0.485,0.335
258,0.485,0.336
259,0.486,0.336
260,0.486,0.336
261,0.486,0.336
262,0.486,0.336
263,0.487,0.336
264,0.487,0.337
265,0.487,0.337
266,0.488,0.337
267,0.488,0.337
268,0.487,0.337
269,0.487,0.337
270,0.488,0.337
271,0.488,0.337
272,0.489,0.337
273,0.489,0.337
274,0.489,0.338
275,0.489,0.338
276,0.489,0.338
277,0.490,0.339
278,0.490,0.339
279,0.490,0.339
280,0.489,0.338
281,0.489,0.338
282,0.490,0.339
283,0.490,0.339
284,0.490,0.339
285,0.490,0.339
286,0.491,0.339
287,0.490,0.339
288,0.490,0.339
289,0.490,0.339
290,0.490,0.339
291,0.491,0.339
292,0.492,0.340
293,0.492,0.340
294,0.492,0.340
295,0.492,0.340
296,0.492,0.340
297,0.492,0.340
298,0.492,0.340
299,0.492,0.340
300,0.492,0.341
301,0.492,0.341
302,0.493,0.341
303,0.493,0.341
304,0.493,0.341
305,0.493,0.341
306,0.493,0.341
307,0.493,0.341
308,0.493,0.341
309,0.494,0.342
310,0.495,0.342
311,0.495,0.342
312,0.495,0.342
313,0.495,0.343
314,0.495,0.342
315,0.495,0.343
316,0.495,0.342
317,0.495,0.343
318,0.495,0.343
319,0.495,0.342
320,0.495,0.343
321,0.495,0.342
322,0.495,0.343
323,0.496,0.343
324,0.496,0.343
325,0.496,0.343
326,0.496,0.343
327,0.497,0.343
328,0.496,0.343
329,0.497,0.344
330,0.497,0.344
331,0.497,0.344
332,0.497,0.344
333,0.498,0.345
334,0.498,0.345
335,0.498,0.345
336,0.499,0.345
337,0.499,0.345
338,0.499,0.345
339,0.499,0.345
340,0.500,0.345
341,0.500,0.346
342,0.500,0.346
343,0.500,0.346
344,0.500,0.346
345,0.501,0.346
346,0.501,0.346
347,0.501,0.346
348,0.501,0.346
349,0.501,0.346
350,0.501,0.347
351,0.501,0.347
352,0.502,0.347
353,0.502,0.347
354,0.502,0.347
355,0.502,0.347
356,0.501,0.347
357,0.502,0.347
358,0.502,0.347
359,0.502,0.347
360,0.502,0.347
361,0.503,0.347
362,0.502,0.347
363,0.503,0.348
364,0.503,0.348
365,0.504,0.349
366,0.504,0.349
367,0.504,0.349
368,0.504,0.349
369,0.504,0.349
370,0.505,0.349
371,0.504,0.349
372,0.505,0.349
373,0.505,0.350
374,0.505,0.350
375,0.505,0.350
376,0.505,0.350
377,0.505,0.350
378,0.505,0.350
379,0.506,0.351
380,0.506,0.351
381,0.507,0.352
382,0.507,0.352
383,0.507,0.352
384,0.507,0.352
385,0.508,0.352
386,0.507,0.352
387,0.507,0.352
388,0.507,0.352
389,0.508,0.352
390,0.508,0.352
391,0.508,0.353
392,0.509,0.353
393,0.509,0.353
394,0.510,0.353
395,0.510,0.354
396,0.510,0.354
397,0.509,0.354
398,0.509,0.354
399,0.509,0.354
400,0.509,0.354
401,0.509,0.354
402,0.509,0.354
403,0.510,0.354
404,0.510,0.354
405,0.510,0.354
406,0.510,0.354
407,0.510,0.354
408,0.510,0.354
409,0.510,0.355
410,0.510,0.354
411,0.511,0.355
412,0.511,0.355
413,0.511,0.355
414,0.511,0.355
415,0.511,0.355
416,0.511,0.355
417,0.512,0.355
418,0.512,0.356
419,0.512,0.356
420,0.512,0.356
421,0.513,0.356
422,0.513,0.356
423,0.513,0.356
424,0.514,0.356
425,0.513,0.357
426,0.513,0.357
427,0.513,0.357
428,0.513,0.357
429,0.514,0.357
430,0.514,0.357
431,0.514,0.357
432,0.515,0.357
433,0.515,0.358
434,0.514,0.358
435,0.514,0.358
436,0.515,0.358
437,0.515,0.358
438,0.515,0.358
439,0.516,0.358
440,0.516,0.358
441,0.516,0.359
442,0.516,0.359
443,0.516,0.359
444,0.517,0.359
445,0.517,0.359
446,0.517,0.359
447,0.517,0.360
448,0.517,0.360
449,0.518,0.360
450,0.518,0.360
451,0.518,0.360
452,0.518,0.361
453,0.519,0.361
454,0.519,0.361
455,0.520,0.361
456,0.520,0.361
457,0.520,0.362
458,0.521,0.362
459,0.520,0.362
460,0.521,0.362
461,0.521,0.362
462,0.521,0.362
463,0.521,0.362
464,0.522,0.362
465,0.522,0.363
466,0.522,0.363
467,0.522,0.362
468,0.522,0.363
469,0.522,0.363
470,0.523,0.363
471,0.523,0.363
472,0.523,0.363
473,0.522,0.363
474,0.523,0.363
475,0.523,0.363
476,0.523,0.363
477,0.523,0.362
478,0.523,0.363
479,0.524,0.363
480,0.524,0.363
481,0.524,0.363
482,0.524,0.363
483,0.524,0.364
484,0.524,0.364
485,0.524,0.364
486,0.525,0.364
487,0.525,0.364
488,0.525,0.364
489,0.524,0.364
490,0.525,0.364
491,0.525,0.365
492,0.525,0.365
493,0.525,0.365
494,0.525,0.365
495,0.526,0.366
496,0.526,0.366
497,0.526,0.366
498,0.527,0.367
499,0.527,0.368
500,0.527,0.367
